cue,movement,t_in,t_out,dur,f_in,f_out,frames,v1_tool,tool,source_id,treatment,observer,onscreen,description,vo,status
01,M01,0.000,2.083,2.083,0,50,50,H,H,HG-01,Full-frame generated performance,cinema,,"Cinema interior, UPA flat. Observer in a seat, up-lit by screen glow, delighted",You've seen it in movies a hundred times.,approved
02,M01,2.083,4.500,2.417,50,108,58,H,H,HG-02,Full-frame generated insert,,,"Hand raises a lighter beneath a sprinkler head, flame flickers, ominous",Someone holds a lighter up to a sprinkler head.,slug
03,M01,4.500,10.792,6.292,108,259,151,H,H,HG-03,Source opening span,,,"Wide: every head on the ceiling bursts at once, full deluge, movie logic","The entire building erupts in a wild torrent of water — every sprinkler head, all at once.",slug
04,M01,10.792,15.542,4.750,259,373,114,H,H,HG-03,Continue source / alternate crop,soaked,,"Observer soaked, papers flying past him, hero silhouette runs through spray","Everyone is soaked, papers fly, and the hero escapes in the confusion.",slug
05,M01,15.542,17.542,2.000,373,421,48,R,R,,Native movement keyframe,,MOVIE MAGIC,Freeze frame; stamp lands over the still,It's a wonderful scene.,slug
06,M01,17.542,20.417,2.875,421,490,69,R,R,,Native movement keyframe,,COMPLETE NONSENSE,Hard cut. Coral stamp. Colour drains out of the scene to paper,It is also complete nonsense.,slug
07,M02,20.417,22.708,2.292,490,545,55,R,R,,Native movement keyframe,,,Wipe from paper to a real ceiling; camera settles,Here is what actually happens.,slug
08,M02,22.708,24.542,1.833,545,589,44,H,H+R,HG-04,Generated plate + Remotion mechanism,,,HG-04 ceiling plate. Remotion adds one accurate active head and the localized water cone.,One sprinkler head opens.,slug
09,M02,24.542,27.583,3.042,589,662,73,H,H+R,HG-04,Same plate + Remotion push,,,Continue HG-04. Remotion camera push isolates the active head directly above the fire.,That one. The one directly above the fire.,slug
10,M02,27.583,32.708,5.125,662,785,123,H,H+R,HG-04,Same plate + Remotion reframe,,,Continue HG-04. Remotion reframes across the dry heads; no new generated shot.,"Every other head on that ceiling stays sealed, dry, and entirely uninterested.",slug
11,M03,32.708,37.000,4.292,785,888,103,R,R,,Native movement keyframe,,NO CONTROL PANEL,"Control-panel icon assembles, then is struck through",Because there is no system. No panel deciding which heads to open.,slug
12,M03,37.000,40.375,3.375,888,969,81,R,R,,Native movement keyframe,,,Ceiling grid: each head resolves into an isolated node. No connecting lines are ever drawn,"Every head on that ceiling is its own separate machine, and",slug
13,M03,40.375,43.083,2.708,969,1034,65,R,R,,Native movement keyframe,,ONE THING,"One node scales up, alone in frame",each one knows precisely one thing:,slug
14,M03,43.083,46.208,3.125,1034,1109,75,R,R,,Native movement keyframe,,local air temperature,Thermometer ring closes around the single node,the temperature of the air immediately around it.,slug
15,M03,46.208,50.208,4.000,1109,1205,96,R,R,,Native movement keyframe,,,Top-down floorplan. Fire icon in one corner; heat gradient stays local,"A fire in the corner of an office is a local event, not a building-wide one.",slug
16,M03,50.208,54.625,4.417,1205,1311,106,R,R,,Native movement keyframe,,1,Counter appears beside the active head,"And in a real fire, the usual number of heads that open is one.",slug
17,M03,54.625,56.292,1.667,1311,1351,40,R,R,,Native movement keyframe,,2 -> 1,"Counter flickers to 2, settles back to 1",Occasionally two.,slug
18,M03,56.292,58.583,2.292,1351,1406,55,R,R,,Native movement keyframe,,,Grid recedes; the question opens up,So the question isn't how they all know.,slug
19,M03,58.583,63.042,4.458,1406,1513,107,R,R,,Native movement keyframe,,THAT ONE  /  THE OTHER 300,Split comparison locks in,"It's what is inside that one, that isn't inside the other three hundred.",slug
20,M04,63.042,63.958,0.917,1513,1535,22,H,H+R,HG-05,Source opening span,walks-under,,Begin HG-05: locked corridor. Observer walks beneath the head without looking up.,Look up.,slug
21,M04,63.958,66.250,2.292,1535,1590,55,H,H+R,HG-05,Same source + crop + accurate overlay,,,Crop into HG-05 plate. Remotion supplies the accurate brass-head macro.,There it is: a small brass fitting,slug
22,M04,66.250,71.000,4.750,1590,1704,114,H,H+R,HG-05,Continue source wide,walks-under,,Return to the HG-05 wide and continue the same walk-under performance.,you have walked underneath ten thousand times without once considering it.,slug
23,M04,71.000,72.875,1.875,1704,1749,45,R,R,,Native movement keyframe,,,"Cutaway: ceiling tile peels back, pipe revealed above","Above it, a pipe.",slug
24,M04,72.875,77.125,4.250,1749,1851,102,R,R,,Native movement keyframe,,HIGH PRESSURE,Water fills the pipe; pressure gauge swings,"Inside the pipe, water — at high pressure, directly over your head,",slug
25,M04,77.125,79.500,2.375,1851,1908,57,R,R,,Native movement keyframe,,SINCE 1994,Date tick backwards to construction,since the day the building went up.,slug
26,M05,79.500,80.625,1.125,1908,1935,27,R,R,,Native movement keyframe,,FOUR PARTS,Exploded view assembles,Four parts.,slug
27,M05,80.625,82.750,2.125,1935,1986,51,R,R,,Native movement keyframe,,1 · FRAME,"Frame highlighted, screwed into the pipe","A frame, screwed into the pipe.",slug
28,M05,82.750,84.667,1.917,1986,2032,46,R,R,,Native movement keyframe,,2 · CAP,"Cap highlighted, sealing the opening","A cap, sealing the opening.",slug
29,M05,84.667,88.500,3.833,2032,2124,92,R,R,,Native movement keyframe,,3 · DEFLECTOR,Deflector disc highlighted; notches visible,"A deflector — that flat, notched disc on the bottom.",slug
30,M05,88.500,91.917,3.417,2124,2206,82,R,R,,Native movement keyframe,,4 · BULB — under permanent compression,Compression arrows animate between cap and frame,"And wedged between the cap and the frame, under permanent compression,",slug
31,M05,91.917,95.250,3.333,2206,2286,80,R,R,,Native movement keyframe,,~ grain of rice,Scale comparison beside the bulb,a glass bulb about the size of a grain of rice.,slug
