cue,movement,speech_start,f_in,f_out,frames,lead_frames,primary_action_frame,timing_review,subbeat_frame,subbeat_action,first_word,confidence,layout,onscreen,visual_action,vo,status
01,M01,0.000,0,128,128,0,0,,,,The,0.809242,fullFrame,A STAIRCASE STAYS PUT,Hold on an immovable staircase; no mechanical motion.,The one thing a staircase is guaranteed to do is stay where it is.,timed
02,M01,5.440,128,186,58,3,128,,,,An,0.959717,textLeft/actionRight,NOT A STAIRCASE,The staircase begins moving and resolves into an escalator.,An escalator is not a staircase.,timed
03,M01,7.860,186,279,93,3,186,,,,Watch,0.982947,textTop/actionCenter,HONG KONG · 2017,Crowded Hong Kong escalator climbs normally; passenger flow is legible.,Watch this one in Hong Kong. About a hundred and twenty people are going up.,timed
04,M01,11.760,279,312,33,2,279,waveform_lead_reviewed_2026-09-15,,,Then,0.969400,fullFrame,STOP,Freeze the step band while passenger momentum continues a fraction.,Then the steps stop.,timed
05,M01,13.120,312,370,58,3,312,,,,Then,0.945462,fullFrame,REVERSE,Reverse the band and visibly accelerate the crowd downhill.,Then they come back down. Faster.,timed
06,M01,15.560,370,459,89,3,370,,,,18,0.799846,textLeft/actionRight,18 INJURED,Freeze the consequence and isolate the verified injury count.,Eighteen people are injured before the machine finally stops.,timed
07,M02,19.260,459,513,54,3,459,,,,The,0.993305,textTop/actionCenter,TWO FAILURES,Open an official-case diagram with two linked failure positions.,The investigation found two failures.,timed
08,M02,21.500,513,570,57,3,513,,,,"First,",0.993162,textLeft/actionRight,1 · DRIVE CHAIN,The main drive chain fractures under load.,"First, a drive chain snapped.",timed
09,M02,23.860,570,666,96,3,570,,,,Then,0.988564,textLeft/actionRight,2 · DETECTOR,The detector remains inert while the broken chain warning reaches it.,Then the device built to detect exactly that... failed as well.,timed
10,M02,27.880,666,774,108,3,666,,,,Buried,0.894293,textTop/actionCenter,ONE NUT,Push toward a small nut inside the detector but withhold the full mechanism.,Buried inside the second failure was one ordinary nut.,timed
11,M02,32.360,774,832,58,3,774,,,,We,0.940541,textLeft/actionRight,LATER,"Hold the nut as an unresolved labelled object, then file it away.",We will get to the nut in a bit.,timed
12,M02,34.780,832,997,165,3,842,waveform_lead_reviewed_2026-09-15,,,"First,",0.974183,textTop/actionCenter,FOUR WAYS THIS GOES WRONG,Lay out four failure cards with their protective devices concealed beneath.,First: four ways an escalator can go horribly wrong — and the small army of machines that's supposed to stop them.,timed
13,M02,41.660,997,1095,98,3,997,,,,starting,0.985823,actionOnly,,Camera drops through the visible tread into the mechanism.,Starting with what you are actually standing on.,timed
14,M03,45.760,1095,1152,57,3,1095,,,,Strip,0.908771,actionOnly,,Mall cladding peels away to a clean systems cutaway.,Strip away the construction and look.,timed
15,M03,48.120,1152,1179,27,3,1155,waveform_lead_reviewed_2026-09-15,,,not,0.974895,textLeft/actionRight,NOT STAIRS,Strike out the familiar staircase silhouette.,Not stairs.,timed
16,M03,49.260,1179,1305,126,3,1179,,,,more,0.987300,textTop/actionCenter,A CONTINUOUS LOOP,Reveal the complete returning step loop and both sprockets.,More like a continuous chain carrying metal steps around sprockets at either end.,timed
17,M03,54.480,1305,1380,75,3,1305,,,,Each,0.995525,textLeft/actionRight,TWO TRACKS,"Isolate one step, its two wheel sets and the two guide tracks.",Each step rides on wheels following two tracks.,timed
18,M03,57.640,1380,1548,168,3,1383,waveform_lead_reviewed_2026-09-15,,,As,0.996604,textTop/actionCenter,FLAT · STAIR · FLAT,"Animate one step through flat, stair and flat states while the tread stays level.","As those tracks change position, the tread stays level, rises into a staircase, then flattens at the landing.",timed
19,M03,64.620,1548,1658,110,3,1548,,,,After,0.989126,textTop/actionCenter,STILL MOVING,Follow the same step around the sprocket and along the underside return.,"After that, the step carries on beneath the floor. Upside down.",timed
