cue,movement,t_in,t_out,dur,f_in,f_out,frames,tool,observer,onscreen,description,vo,status
01,M01,0.0,2.27,2.27,0,55,55,H,cinema,,"Cinema interior, UPA flat. Observer in a seat, up-lit by screen glow, delighted",You've seen it in movies a hundred times.,approved
02,M01,2.27,5.32,3.04,55,128,73,H,,,"Hand raises a lighter beneath a sprinkler head, flame flickers, ominous",Someone holds a lighter up to a sprinkler head.,slug
03,M01,5.32,11.18,5.86,128,268,140,H,,,"Wide: every head on the ceiling bursts at once, full deluge, movie logic","The entire building erupts in a wild torrent of water — every sprinkler head, all at once.",slug
04,M01,11.18,15.84,4.66,268,380,112,H,soaked,,"Observer soaked, papers flying past him, hero silhouette runs through spray","Everyone is soaked, papers fly, and the hero escapes in the confusion.",slug
05,M01,15.84,17.81,1.97,380,427,47,R,,MOVIE MAGIC,Freeze frame; stamp lands over the still,It's a wonderful scene.,slug
06,M01,17.81,19.43,1.62,427,466,39,R,,COMPLETE NONSENSE,Hard cut. Coral stamp. Colour drains out of the scene to paper,It is also complete nonsense.,slug
07,M02,19.43,21.87,2.44,466,525,59,R,,,Wipe from paper to a real ceiling; camera settles,Here is what actually happens.,slug
08,M02,21.87,23.81,1.95,525,572,47,H,,,Real ceiling: ONE head firing. Everything else dry and still,One sprinkler head opens.,slug
09,M02,23.81,27.05,3.23,572,649,77,H,,,"Push in on the single active head, directly above the fire",That one. The one directly above the fire.,slug
10,M02,27.05,31.71,4.67,649,761,112,H,,,"Slow pan across rows of sealed, dry heads. Nothing happening","Every other head on that ceiling stays sealed, dry, and entirely uninterested.",slug
11,M03,31.71,36.31,4.6,761,871,110,R,,NO CONTROL PANEL,"Control-panel icon assembles, then is struck through",Because there is no system. No panel deciding which heads to open.,slug
12,M03,36.31,40.47,4.16,871,971,100,R,,,Ceiling grid: each head resolves into an isolated node. No connecting lines are ever drawn,"Every head on that ceiling is its own separate machine, and",slug
13,M03,40.47,42.42,1.95,971,1018,47,R,,ONE THING,"One node scales up, alone in frame",each one knows precisely one thing:,slug
14,M03,42.42,45.64,3.21,1018,1095,77,R,,local air temperature,Thermometer ring closes around the single node,the temperature of the air immediately around it.,slug
15,M03,45.64,50.97,5.33,1095,1223,128,R,,,Top-down floorplan. Fire icon in one corner; heat gradient stays local,"A fire in the corner of an office is a local event, not a building-wide one.",slug
16,M03,50.97,55.31,4.34,1223,1327,104,R,,1,Counter appears beside the active head,"And in a real fire, the usual number of heads that open is one.",slug
17,M03,55.31,56.76,1.45,1327,1362,35,R,,2 -> 1,"Counter flickers to 2, settles back to 1",Occasionally two.,slug
18,M03,56.76,59.35,2.59,1362,1425,63,R,,,Grid recedes; the question opens up,So the question isn't how they all know.,slug
19,M03,59.35,64.73,5.38,1425,1554,129,R,,THAT ONE  /  THE OTHER 300,Split comparison locks in,"It's what is inside that one, that isn't inside the other three hundred.",slug
20,M04,64.73,65.67,0.94,1554,1576,22,H,walks-under,,Corridor. Observer walks beneath the head and does not look up. Camera holds on the head after he exits,Look up.,slug
21,M04,65.67,67.61,1.94,1576,1623,47,H,,,"Macro: brass fitting, shallow focus, ordinary ceiling behind",There it is: a small brass fitting,slug
22,M04,67.61,73.22,5.61,1623,1757,134,H,walks-under,,"Same corridor, second pass. He walks under again. Still doesn't look",you have walked underneath ten thousand times without once considering it.,slug
23,M04,73.22,74.16,0.94,1757,1780,23,R,,,"Cutaway: ceiling tile peels back, pipe revealed above","Above it, a pipe.",slug
