video_id,published_at,view_count,duration,title
eSXjgJvPp14,2026-09-01,980,PT11M36S,How Does a Pumpjack Pull Oil From Deep Underground?
p_H0kTth9sk,2026-08-31,1156,PT12M34S,Is Charging Your Phone Overnight Actually Bad for the Battery?
w4VVtusSa2Y,2026-08-30,2252,PT10M55S,What Actually Happens When You Can Food?
Rd7rp6dMa5Q,2026-08-29,436,PT11M46S,Why Are So Many Pencils Yellow?
OWHXTj_4uTQ,2026-08-28,280,PT12M54S,How Do Cruise Missiles Know Exactly Where to Go?
EAByD_XuMM8,2026-08-27,8842,PT12M9S,How Is Powdered Milk Made?
6V9Z3QKhfIw,2026-08-26,4087,PT10M54S,Why Do Electrical Plugs Have Holes in the Prongs?
U8P1vdCq0bk,2026-08-25,6905,PT11M36S,Why Does Your Laptop Charger Cable Have This Cylinder?
Ur_PqKGg41Y,2026-08-24,541,PT12M58S,Floppy Disks Explained
_BaAyai7XL4,2026-08-23,527,PT12M27S,How Does Your Phone Know Where You Are? GPS Explained
3mpcXXXmK5Q,2026-08-22,566,PT11M14S,Why Did Toilet Paper Become Essential?
MzH5rX9dzwI,2026-08-21,7062,PT13M15S,Wi-Fi vs Mobile Data
WcAE1T2HL8A,2026-08-20,302,PT12M5S,How Do Beavers Build Dams Without Knowing Engineering?
B5CJZvAc1kQ,2026-08-19,738,PT13M30S,Why Are License Plate Letters Raised?
yT0YqZDx_Pg,2026-08-18,1113,PT14M3S,How Does a Power Bank Know When to Stop Charging Your Phone?
aEW3rKgu3WA,2026-08-17,2214,PT15M5S,Why Does Unplugging HDMI Fix a Black Screen?
zKF7CrEln-4,2026-08-16,312,PT12M35S,How Does an ATM Know Your PIN Is Correct Without Revealing It?
vz7bnpkcT60,2026-08-15,809,PT12M23S,How Does a Touchscreen Know Exactly Where You Touched?
f1nxdCqU15I,2026-08-14,653,PT12M34S,How Does an ATM Verify Your PIN Without Exposing It?
X_QMeJDYyrQ,2026-08-13,1389,PT12M49S,Charging Overnight: Why You've Been Doing It Wrong
YgqG4VqspXk,2026-08-12,1483,PT11M57S,How Does GPS Know Exactly Where You Are?
k0m6HeWLTvE,2026-08-11,227,PT11M44S,Is Your Feta Fake?
oxKXPNcqQ8o,2026-08-10,652,PT13M2S,What Really Happens to Old Phones After You Recycle Them?
2wZTVf6lws0,2026-08-09,589,PT13M24S,Your Phone Isn't Listening to You But It Knows Everything
hvmRASCu8m0,2026-08-08,3519,PT13M20S,Why Do Smartphone Batteries Still Last Only One Day?
WKqvB96r3_Q,2026-08-07,1111,PT14M4S,Why Fast Charging Isn't the Real Battery Killer
SGSML7nM5NY,2026-08-06,876,PT13M30S,How Sound Travels Through Wired Earphones
jLqbIuen4lc,2026-08-05,3999,PT13M16S,Does Leaving Your Laptop Plugged In Ruin the Battery?
4lzchY6f59M,2026-08-04,10469,PT13M46S,How Does a USB Flash Drive Store Data Without Power?
QtfxaiGSZ3w,2026-08-03,3071,PT14M9S,Why Doesn't a 10000mAh Power Bank Charge a 5000mAh Phone Twice?
-nDwGOFMkXU,2026-08-02,1196,PT12M43S,What Really Happens Inside a Credit Card Chip?
pGUfaE6C6xw,2026-08-01,46200,PT13M51S,Why Your SIM Card Is More Important Than You Think
xnOsVSrll_A,2026-07-31,14368,PT11M22S,Why Do Laptop Chargers Need That Big Brick?
H1cyAjGCurU,2026-07-30,854,PT13M19S,Why Do Phone Cameras Stick Out So Far?
rGBgE09nz9E,2026-07-29,1189,PT12M6S,Why Do Identical USB-C Ports Work So Differently?
FhPtDanly3A,2026-07-28,1916,PT13M17S,Why Your Phone Charges Fast at First Then Suddenly Slows
Bq2jJ-8EJe0,2026-07-27,424,PT13M14S,How Do Freight Train Crews Use the Bathroom Without Stopping?
S5cDiFhMDLU,2026-07-26,2846,PT11M30S,Does Charging Your Phone Overnight Actually Damage the Battery?
dH1wEWswyc0,2026-07-25,377,PT12M50S,Why Do Batteries Need a Positive and Negative End?
0NWlVbJM898,2026-07-24,5841,PT13M19S,How Your Phone Charger Actually Works
psJ5okHy6FA,2026-07-23,274,PT13M,How Are Giant Ship Propellers Made?
TyHYz-ORyPk,2026-07-22,405,PT13M40S,Why Are Rolls-Royce Cars So Expensive?
7GunIXuG2tg,2026-07-21,348,PT12M39S,Why Do Train Rails Have This Strange Shape?
1SYUTzDRoj0,2026-07-20,253,PT13M17S,Why Are Soccer Jerseys So Expensive?
fd4ISZu5yQU,2026-07-19,786,PT12M50S,Is Your Phone Hacked?
UYgrFt0kBLQ,2026-07-18,795,PT13M7S,The Real Reason USB Has So Many Different Connectors?
qalM65nymV8,2026-07-18,806,PT13M35S,Where Do Chicken Heads Feet and Feathers Go After Processing?
FyTkhMKUy9s,2026-07-18,188,PT12M11S,Why Does Hitting Your Funny Bone Send a Shock to Your Fingers?
3MVon1jMofo,2026-07-17,658,PT12M52S,Why Do Apple Cables Break Near the Connector?
vgNS33Nkjes,2026-07-17,1833,PT12M43S,Why Do SIM Cards Have One Corner Cut Off?
